starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 09:50:16 2014	1407570616	347	739	1086	739
Sat Aug 09 09:50:16 2014	1407570616	347	740	1086	739
Sat Aug 09 09:50:16 2014	1407570616	347	741	1088	740
Sat Aug 09 09:50:16 2014	1407570616	338	750	1088	750
Sat Aug 09 09:50:16 2014	1407570616	347	742	1089	742
Sat Aug 09 09:50:16 2014	1407570616	347	743	1090	743
Sat Aug 09 09:50:16 2014	1407570616	348	745	1092	745
Sat Aug 09 09:50:16 2014	1407570616	347	745	1093	745
Sat Aug 09 09:50:16 2014	1407570616	348	746	1094	746
Sat Aug 09 09:50:16 2014	1407570616	321	773	1094	773
Sat Aug 09 09:50:16 2014	1407570616	348	747	1095	747
Sat Aug 09 09:50:16 2014	1407570616	322	774	1095	774
Sat Aug 09 09:50:16 2014	1407570616	327	770	1097	770
Sat Aug 09 09:50:16 2014	1407570616	322	775	1097	775
Sat Aug 09 09:50:16 2014	1407570616	348	749	1097	749
Sat Aug 09 09:50:16 2014	1407570616	336	762	1097	761
Sat Aug 09 09:50:16 2014	1407570616	349	748	1097	748
Sat Aug 09 09:50:16 2014	1407570616	322	776	1098	776
Sat Aug 09 09:50:16 2014	1407570616	344	755	1099	755
Sat Aug 09 09:50:16 2014	1407570616	327	772	1099	772
Sat Aug 09 09:50:16 2014	1407570616	321	778	1100	778
Sat Aug 09 09:50:16 2014	1407570616	327	773	1100	773
Sat Aug 09 09:50:16 2014	1407570616	322	779	1101	779
Sat Aug 09 09:50:16 2014	1407570616	336	765	1101	765
Sat Aug 09 09:50:16 2014	1407570616	327	774	1101	774
Sat Aug 09 09:50:16 2014	1407570616	344	758	1102	758
Sat Aug 09 09:50:16 2014	1407570616	322	780	1102	780
Sat Aug 09 09:50:16 2014	1407570616	336	766	1102	766
Sat Aug 09 09:50:16 2014	1407570616	344	759	1103	759
Sat Aug 09 09:50:16 2014	1407570616	322	781	1103	781
Sat Aug 09 09:50:16 2014	1407570616	349	754	1104	754
Sat Aug 09 09:50:16 2014	1407570616	321	783	1105	783
Sat Aug 09 09:50:16 2014	1407570616	333	772	1105	772
Sat Aug 09 09:50:16 2014	1407570616	344	762	1106	762
Sat Aug 09 09:50:16 2014	1407570616	321	785	1106	785
Sat Aug 09 09:50:16 2014	1407570616	344	763	1106	763
Sat Aug 09 09:50:16 2014	1407570616	351	758	1109	758
Sat Aug 09 09:50:16 2014	1407570616	321	787	1109	787
Sat Aug 09 09:50:16 2014	1407570616	344	765	1109	765
Sat Aug 09 09:50:16 2014	1407570616	351	758	1109	758
Sat Aug 09 09:50:16 2014	1407570616	330	781	1110	781
Sat Aug 09 09:50:16 2014	1407570616	321	790	1111	790
Sat Aug 09 09:50:16 2014	1407570616	351	761	1112	761
Sat Aug 09 09:50:16 2014	1407570616	351	762	1113	762
Sat Aug 09 09:50:16 2014	1407570616	344	769	1113	769
Sat Aug 09 09:50:16 2014	1407570616	344	770	1114	770
Sat Aug 09 09:50:16 2014	1407570616	343	773	1116	773
Sat Aug 09 09:50:16 2014	1407570616	344	772	1116	772
Sat Aug 09 09:50:16 2014	1407570616	330	788	1118	788
Sat Aug 09 09:50:16 2014	1407570616	323	799	1122	799
Sat Aug 09 09:50:16 2014	1407570616	323	800	1123	800
Sat Aug 09 09:50:16 2014	1407570616	323	802	1125	802
Sat Aug 09 09:50:16 2014	1407570616	321	805	1127	805
Sat Aug 09 09:50:16 2014	1407570616	323	804	1128	804
Sat Aug 09 09:50:16 2014	1407570616	323	806	1129	806
Sat Aug 09 09:50:16 2014	1407570616	330	800	1130	800
Sat Aug 09 09:50:16 2014	1407570616	323	807	1130	807
Sat Aug 09 09:50:16 2014	1407570616	323	808	1131	808
Sat Aug 09 09:50:16 2014	1407570616	337	795	1132	795
Sat Aug 09 09:50:16 2014	1407570616	323	812	1135	812
Sat Aug 09 09:50:16 2014	1407570616	323	813	1136	813
Sat Aug 09 09:50:16 2014	1407570616	323	814	1137	814
Sat Aug 09 09:50:16 2014	1407570616	339	800	1140	800
Sat Aug 09 09:50:16 2014	1407570616	323	817	1140	817
Sat Aug 09 09:50:16 2014	1407570616	323	820	1143	820
Sat Aug 09 09:50:16 2014	1407570616	348	800	1148	800
Sat Aug 09 09:50:16 2014	1407570616	345	803	1148	803
Sat Aug 09 09:50:16 2014	1407570616	345	804	1149	804
Sat Aug 09 09:50:16 2014	1407570616	348	803	1151	803
Sat Aug 09 09:50:16 2014	1407570616	345	809	1154	809
Sat Aug 09 09:50:16 2014	1407570616	348	807	1155	806
Sat Aug 09 09:50:16 2014	1407570616	345	813	1159	813
Sat Aug 09 09:50:16 2014	1407570616	336	823	1159	823
Sat Aug 09 09:50:16 2014	1407570616	348	812	1160	812
Sat Aug 09 09:50:16 2014	1407570616	324	837	1161	837
Sat Aug 09 09:50:16 2014	1407570616	336	826	1163	826
Sat Aug 09 09:50:16 2014	1407570616	336	827	1163	827
Sat Aug 09 09:50:16 2014	1407570616	346	818	1164	818
Sat Aug 09 09:50:16 2014	1407570616	326	839	1166	839
Sat Aug 09 09:50:16 2014	1407570616	326	841	1166	841
Sat Aug 09 09:50:16 2014	1407570616	326	842	1167	842
Sat Aug 09 09:50:16 2014	1407570616	326	843	1169	843
Sat Aug 09 09:50:16 2014	1407570616	336	833	1169	833
Sat Aug 09 09:50:16 2014	1407570616	326	844	1170	844
Sat Aug 09 09:50:16 2014	1407570616	326	844	1170	844
Sat Aug 09 09:50:16 2014	1407570616	336	835	1171	835
Sat Aug 09 09:50:16 2014	1407570616	337	838	1175	838
Sat Aug 09 09:50:16 2014	1407570616	326	850	1176	850
Sat Aug 09 09:50:16 2014	1407570616	326	851	1177	851
Sat Aug 09 09:50:16 2014	1407570616	326	851	1177	851
Sat Aug 09 09:50:16 2014	1407570616	326	851	1177	850
Sat Aug 09 09:50:16 2014	1407570616	326	851	1178	851
Sat Aug 09 09:50:16 2014	1407570616	345	832	1178	832
